Gene1	Gene2	pdi	ppi	Dir
1875	332	1	0	1
1875	467	1	0	1
1875	471	1	0	1
1875	518	1	0	1
1875	537	1	0	1
1875	605	1	0	1
1875	642	1	0	1
1875	643	1	0	1
1875	644	1	0	1
1875	667	1	0	1
1875	672	1	0	1
1875	682	1	0	1
1875	694	1	0	1
1875	695	1	0	1
1875	699	1	0	1
1875	701	1	0	1
1875	705	1	0	1
1875	708	1	0	1
1875	825	1	0	1
1875	857	1	0	1
1875	871	1	0	1
1875	890	1	0	1
1875	891	1	0	1
1875	898	1	0	1
1875	899	1	0	1
1875	960	1	0	1
1875	966	1	0	1
1875	967	1	0	1
1875	974	1	0	1
1875	977	1	0	1
1875	983	1	0	1
1875	990	1	0	1
1875	991	1	0	1
1875	993	1	0	1
1875	995	1	0	1
1875	1017	1	0	1
1875	1019	1	0	1
1875	1029	1	0	1
1875	1032	1	0	1
1875	1033	1	0	1
1875	1058	1	0	1
1875	1062	1	0	1
1875	1070	1	0	1
1875	1104	1	0	1
1875	1163	1	0	1
1875	1164	1	0	1
1875	1230	1	0	1
1875	1317	1	0	1
1875	1434	1	0	1
1875	1478	1	0	1
1875	1495	1	0	1
1875	1503	1	0	1
1875	1537	1	0	1
1875	1540	1	0	1
1875	1545	1	0	1
1875	1612	1	0	1
1875	1615	1	0	1
1875	1633	1	0	1
1875	1719	1	0	1
1875	1786	1	0	1
1875	1831	1	0	1
1875	1841	1	0	1
1875	1854	1	0	1
1875	1869	1	0	1
1875	1871	1	0	1
1875	1876	0	1	0
1875	1968	1	0	1
1875	1973	1	0	1
1875	2023	1	0	1
1875	2033	0	1	0
1875	2040	1	0	1
1875	2059	1	0	1
1875	2079	1	0	1
1875	2146	1	0	1
1875	2175	1	0	1
1875	2194	1	0	1
1875	2224	1	0	1
1875	2305	1	0	1
1875	2334	1	0	1
1875	2548	1	0	1
1875	2597	1	0	1
1875	2618	1	0	1
1875	2621	1	0	1
1875	2639	1	0	1
1875	2644	1	0	1
1875	2683	1	0	1
1875	2781	1	0	1
1875	2800	1	0	1
1875	2805	1	0	1
1875	2935	1	0	1
1875	2956	1	0	1
1875	2975	1	0	1
1875	3015	1	0	1
1875	3033	1	0	1
1875	3068	1	0	1
1875	3133	1	0	1
1875	3159	1	0	1
1875	3161	1	0	1
1875	3181	1	0	1
