6208	6228	0.746
6158	6228	0.743
6218	6222	0.739
6134	6158	0.739
1915	6171	0.738
6134	6228	0.732
6217	6228	0.728
6208	6235	0.726
6134	6208	0.726
6191	6235	0.721
6158	6208	0.720
6191	6228	0.719
6191	6208	0.719
6134	6232	0.717
6168	6171	0.717
6228	6232	0.716
6208	6224	0.715
6228	6235	0.714
6176	6191	0.713
6158	6191	0.713
9214	11009	0.712
6158	6235	0.712
6222	6228	0.711
6208	6217	0.710
6158	6217	0.710
6134	6191	0.709
6158	6222	0.709
1915	6168	0.708
6171	6218	0.707
6134	6217	0.706
6158	6187	0.706
6168	6208	0.706
6203	6217	0.705
6132	6158	0.705
6208	6232	0.705
6134	6206	0.704
6134	6235	0.703
6208	6222	0.703
6191	6222	0.702
6224	6228	0.701
6191	6224	0.701
6176	6217	0.700
6132	6228	0.699
6171	6222	0.699
6188	6204	0.699
6160	6228	0.699
6132	6187	0.698
8340	8341	0.698
6168	6228	0.697
6208	6218	0.697
6203	6204	0.697
6187	6228	0.696
6134	6176	0.696
6134	6224	0.696
6218	6228	0.695
6222	6235	0.695
6132	6222	0.695
6224	6235	0.695
6160	6210	0.694
6191	6206	0.693
6158	6232	0.693
6176	6228	0.693
6168	6191	0.693
6206	6235	0.693
6134	6222	0.692
6160	6203	0.692
6168	6222	0.692
6158	6160	0.691
6160	6204	0.691
6224	6232	0.690
6218	6235	0.690
6187	6222	0.690
6134	6168	0.690
6176	6224	0.690
6159	6176	0.689
6168	6206	0.689
6206	6208	0.689
6176	6208	0.689
6158	6218	0.688
6168	6235	0.688
6191	6218	0.688
6191	6217	0.688
6168	6218	0.687
6132	6208	0.687
6122	6132	0.686
6132	6218	0.686
6187	6217	0.686
6122	6158	0.686
6191	6232	0.685
6134	6187	0.685
6232	6235	0.684
6132	6134	0.684
6208	6210	0.684
1915	6218	0.684
6158	6224	0.684
6158	6206	0.683
6160	6232	0.683
6203	6228	0.683
6217	6232	0.683
6132	6217	0.683
6171	6208	0.682
6143	6188	0.682
6160	6208	0.681
6159	6228	0.681
6158	6203	0.681
6122	6203	0.680
6206	6228	0.680
6158	6176	0.680
6122	6228	0.680
1915	6228	0.679
6159	6217	0.679
6122	6135	0.679
6132	6223	0.679
6135	6188	0.679
6132	6176	0.678
6171	6228	0.678
6158	6223	0.678
6135	6143	0.678
6171	6191	0.678
1915	6208	0.677
6135	6203	0.677
6206	6218	0.676
6210	6228	0.676
6134	10399	0.674
6188	6203	0.674
6132	6159	0.674
6217	6218	0.674
6206	6224	0.673
6171	6235	0.673
1915	6222	0.673
6122	6143	0.673
6122	6223	0.673
6132	6191	0.673
6168	6217	0.673
6189	6232	0.672
1915	6206	0.672
6171	6206	0.672
6206	6222	0.672
6159	6191	0.672
6159	6203	0.671
6158	6168	0.671
6204	6228	0.671
6217	6222	0.671
6158	6210	0.670
6204	6210	0.669
6122	6187	0.668
6223	6228	0.668
6134	6218	0.668
6176	6206	0.667
6206	6232	0.667
9133	22974	0.667
6224	10399	0.667
6159	6208	0.667
6139	6204	0.667
6133	6189	0.667
6135	6204	0.666
6193	6204	0.666
8341	8346	0.666
6168	6224	0.666
1915	10399	0.666
6134	6171	0.665
6134	6203	0.665
6122	6134	0.665
6159	6187	0.665
6132	6224	0.665
7153	22974	0.665
6158	6204	0.664
6204	6223	0.664
6158	6159	0.664
6203	6208	0.663
6210	6235	0.663
7153	9133	0.663
1915	6191	0.663
6168	6176	0.662
6171	10399	0.662
6160	6217	0.662
6204	6217	0.662
6134	6160	0.662
6187	6208	0.661
6143	6204	0.661
6222	6224	0.661
6191	6210	0.661
6169	6218	0.660
6168	10399	0.660
6159	6222	0.660
6208	10399	0.660
6176	6235	0.660
6168	6232	0.660
1915	6134	0.660
1915	6235	0.660
6134	6159	0.659
6122	6191	0.659
6122	6188	0.659
6203	6205	0.659
1058	6790	0.659
6122	6159	0.658
6160	6224	0.658
1915	6217	0.658
6210	6224	0.658
6222	6223	0.658
6176	6187	0.657
6171	6217	0.657
6228	10399	0.657
6160	6191	0.657
6159	6223	0.657
6203	6210	0.657
