## There are #18 experiments in this file			
## 001 -- alpha_factor_release_sample013			
## 002 -- alpha_factor_release_sample014			
## 003 -- alpha_factor_release_sample015			
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015
ylr144c	0.01	-0.35	-0.57
ylr145w	0.18	-0.43	-0.18
ylr146c	0.34	0.19	-0.42
ylr147c	0.12	-0.19	-0.11
ylr148w	0.09	0.47	0
ylr149c	0.03	0.9	0.68
ylr150w	0.3	0.25	0.04
ylr151c	-0.23	0.29	0.21
ylr152c	0.61	0.57	0.33
ylr153c	0.1	-0.3	0.14
ylr154c	0.14	-0.3	0.21
yll047w	-0.37	-0.31	-0.6
yll046c	0.08	-0.47	-0.8
yll045c	0.07	0.07	-0.39
yll044w	0.2	-0.08	-0.03
ylr160c	0.2	0.19	0.26
ylr162w	-0.61	-0.47	-0.65
ylr163c	-0.11	-0.07	0.27
ylr164w	NA	-0.09	-0.87
ylr165c	0.1	-0.15	-0.09
ylr166c	-0.48	0.12	-0.88
ylr167w	0.31	-0.04	0.09
yll043w	0.23	0.59	-0.35
ylr168c	-0.31	1.9	-0.57
ylr169w	-0.35	-0.31	-0.37
ylr170c	-0.46	-0.18	-0.35
ylr171w	-0.25	-0.34	-0.05
ylr172c	-0.2	-0.2	-0.43
ylr173w	-0.11	0.14	-0.34
ylr174w	-0.36	-0.01	-0.01
ylr175w	0.17	-0.49	-0.88
ylr176c	-0.26	0.04	0.05
ylr177w	0.35	0.19	0.39
ylr178c	-0.26	0.88	1.18
ylr179c	0.42	-0.07	0.53
ylr180w	0.33	0.03	-0.16
ylr181c	-0.1	-0.47	0.27
ylr182w	-0.05	-0.27	-0.3
ylr183c	-2.14	-1.51	0.97
yll042c	-0.13	-0.45	-0.02
ylr184w	-0.41	0.32	0.02
ylr185w	0.09	-0.16	-0.25
ylr186w	-0.21	-1.07	-0.74
ylr187w	-0.01	-0.21	0.01
ylr188w	-0.4	-0.25	-0.15
ylr189c	0.01	0.49	0.26
yll041c	-0.2	0.13	-0.23
ylr190w	-1.4	-0.42	-0.88
ylr191w	-0.26	0.3	-0.15
ylr192c	0.07	0.31	-0.04
ylr193c	-0.21	0.31	-0.43
ylr194c	0.78	-0.03	-2.21
ylr195c	-0.1	1.12	-0.39
yll040c	-0.29	0.21	-0.41
ylr196w	-0.54	-1.04	-1.62
ylr197w	0.2	-0.49	-0.75
ylr198c	0	-0.1	-0.75
ylr199c	0.08	0.63	-0.44
ylr200w	0.21	0.1	-0.02
ylr203c	-0.18	-0.2	0.02
ylr204w	-0.36	-0.23	-0.22
ylr205c	0.45	-0.15	0.15
ylr206w	-0.06	0.22	0.22
ylr207w	-0.03	-0.33	0.28
ylr208w	-0.15	-0.31	-0.29
ylr209c	-0.01	-0.33	-0.19
ylr210w	0.14	0.18	-0.21
ylr211c	-0.09	0.1	-0.27
ylr212c	-1.16	-0.23	-0.35
ylr213c	-0.33	-0.12	-0.65
ylr214w	-0.43	-0.83	-0.93
ylr215c	-0.25	0.16	-0.88
ylr216c	0.27	0.57	0.27
ylr217w	0.52	0.34	0.14
ylr218c	-0.56	0.26	-0.96
ylr219w	-0.25	0.28	-0.22
ylr220w	-0.29	-0.23	-0.67
ylr221c	0.07	-0.18	-0.67
ylr222c	-0.05	-1.1	-1.16
ylr223c	0.1	2.46	-0.67
ylr224w	0.11	0.24	-0.13
ylr225c	0.9	0.13	0.12
ylr226w	-0.03	-0.2	-0.48
ylr227c	0.08	-0.51	-0.39
ylr228c	-0.4	-0.13	-0.89
ylr229c	0.15	-0.29	-0.15
ylr230w	0.11	0.16	-0.15
ylr231c	-0.4	-0.53	-0.23
ylr232w	-0.3	-0.1	-0.21
ylr233c	-0.22	-0.41	0.18
ylr234w	-0.56	-0.46	0.08
ylr237w	0.54	0.57	0.36
ylr238w	-0.3	0.01	-0.94
ylr239c	0.2	0.19	-0.08
ylr240w	-0.08	0.18	-0.29
ylr241w	0.31	0.26	0.34
ylr242c	-0.33	-0.24	-0.8
ylr243w	0.02	-0.47	-0.33
ylr244c	-0.03	-0.33	-0.72
ylr245c	-0.42	-0.37	-0.16
ylr246w	-0.36	-0.11	-0.85
ylr247c	-0.59	0.05	-0.09
ylr248w	-0.1	0.36	0.44
ylr249w	0.3	-0.47	-0.38
ylr250w	0.59	0.71	0.76
yll039c	0.35	0.37	0.09
ylr251w	0.11	0.51	0.11
ylr253w	-0.1	-0.08	-0.16
ylr254c	0.08	-0.27	-0.54
ylr255c	0.35	0	-0.02
ylr256w	0.94	0.93	0.71
yll038c	-0.01	-0.54	-0.15
ylr257w	0.34	0.3	-0.34
ylr258w	-0.97	1.14	0.63
ylr259c	0.1	0.64	0.09
yll037w	-0.22	-0.79	-0.73
ylr260w	-0.18	-0.04	-0.69
yll036c	-0.24	-0.81	-0.55
ylr262c	0.1	-0.09	-0.75
ylr263w	-0.43	-0.6	-0.58
ylr264w	0.3	0.43	0.08
ylr265c	-0.15	0.13	-0.1
ylr266c	0.31	0.08	-0.41
ylr267w	0.39	NA	1.62
ylr268w	-0.28	0.06	-0.25
ylr269c	-0.22	0.14	-0.03
ylr270w	-0.22	0.54	0.03
ylr271w	-0.32	-0.12	-0.17
ylr272c	-0.53	-0.39	-0.29
yll035w	-0.06	-0.48	-0.7
ylr273c	-0.07	0.33	1.19
ylr274w	-0.09	0.14	0.56
ylr275w	0.45	-0.18	0.04
ylr276c	0.09	-0.95	-0.86
ylr277c	-0.2	-0.87	-0.09
ylr278c	0.59	0.39	0.56
ylr279w	0.41	-0.85	0.2
ylr281c	0.29	0.18	0.47
ylr282c	-0.07	0.24	0.28
ylr283w	NA	-0.32	0.32
ylr284c	-0.85	0.1	-1.35
yll034c	-1.02	-1.62	-1.23
ylr285w	-0.24	-0.32	-0.4
ylr286c	-0.54	-0.81	-1.36
ylr287c	-0.2	-0.86	-0.76
ylr288c	-1.24	-0.72	NA
ylr289w	-0.18	0.03	-0.21
ylr290c	-0.7	-0.07	-1.16
ylr291c	0.33	-0.13	-0.26
ylr292c	-0.1	0.32	-0.25
ylr293c	0.63	0.46	0.27
ylr295c	0.15	0.04	0.03
ylr296w	-0.16	0.2	-0.23
ylr297w	1.16	0.17	0.21
ylr298c	0.19	-0.06	0.12
ylr299w	0.44	0.58	0.88
ylr300w	-0.04	-1.04	-0.97
ylr301w	0.21	0.06	0.12
ylr302c	NA	0.72	0.96
ylr303w	1.01	0.67	1.11
yll033w	-0.51	-1.31	-0.8
ylr304c	0.47	0.04	0.28
ylr305c	0.71	-0.04	0.43
yll032c	0.18	-0.86	-0.84
ylr306w	-0.28	-0.22	-0.23
ylr307w	0.09	-0.62	0.01
ylr308w	-0.13	0	-0.71
ylr309c	0.15	0.29	0.18
ylr310c	-0.12	0.07	-0.61
ylr312c	-0.49	0.14	-1.58
ylr313c	-0.73	0.55	1.14
ylr314c	-0.38	-0.39	-0.51
ylr315w	-0.32	1.41	-0.03
ylr316c	-0.3	-0.31	-0.93
ylr317w	-0.14	-0.16	0.06
ylr318w	-0.4	-0.36	NA
ylr319c	-0.2	-0.57	-0.19
yll031c	-0.16	-0.36	-0.41
ylr320w	0.04	-0.35	-0.06
ylr321c	-0.47	-1.14	-0.6
ylr322w	-0.29	-0.23	-0.28
ylr323c	-0.02	-0.8	-0.29
ylr324w	-0.03	-0.03	0.21
ylr325c	0.37	0.14	0.14
ylr326w	-0.47	-0.33	0.35
ylr327c	0.82	1.91	1.75
ylr328w	0.07	0.36	0.13
ylr329w	0.05	-0.15	0.28
ylr330w	0.19	0.23	0.12
ylr331c	1.82	-0.33	0.19
ylr332w	1.61	-0.1	-0.47
ylr333c	0.38	0.08	0.2
ylr335w	0.13	-0.46	-0.13
ylr336c	-0.16	-0.7	-1.62
yll030c	0.03	-0.27	0.26
ylr338w	0.08	0.23	0.24
ylr339c	0.4	0.27	0.46
ylr340w	0.34	-0.04	-0.14
ylr341w	0.19	-0.27	0
ylr342w	0.18	-0.1	0.19
yll029w	-0.09	-0.44	-0.13
ylr343w	0.3	-0.41	0.41
ylr344w	0.09	-0.29	-0.22
ylr345w	0.9	0.23	0.82
ylr346c	-0.15	-0.01	-0.02
ylr347c	-0.02	-0.71	-0.33
ylr348c	-0.51	-0.51	-0.45
ylr349w	-0.48	-0.59	-0.3
ylr350w	0.71	0.24	-0.14
ylr351c	0.01	-0.14	0.05
ylr352w	0	0.15	-0.03
ylr353w	-0.26	-0.27	-0.15
ylr354c	0.19	-0.34	-0.13
ylr355c	-0.2	-0.68	-0.14
ylr356w	-0.28	0.66	0.41
ylr357w	-0.05	0.64	-0.21
ylr358c	-1.2	-1.22	-1.09
ylr359w	0.21	0.8	0.38
ylr360w	-0.62	-0.05	-0.41
ylr361c	0.01	-0.91	-0.08
yll028w	0.7	0.85	0.74
ylr362w	-0.51	-0.36	-0.6
ylr363c	-0.16	-0.5	-0.28
ylr364w	-0.36	0.02	-0.77
ylr365w	-0.31	-0.21	-0.28
ylr367w	0.14	-0.04	-0.17
ylr368w	-0.41	-0.15	-0.34
ylr369w	0.2	-0.14	0.05
ylr370c	0.02	0.49	0.63
ylr371w	0.23	0.05	0.18
ylr372w	-0.56	-0.8	-0.4
ylr373c	-0.84	-1	-0.35
ylr374c	-0.41	-0.48	-0.23
ylr375w	-0.37	-0.89	-0.67
ylr376c	-0.48	-0.32	0.12
ylr377c	NA	-0.57	-0.27
yll027w	-0.05	-0.24	-0.53
ylr378c	-0.38	-0.57	-0.26
ylr379w	-0.23	-0.52	-0.11
ylr380w	-0.13	-0.15	-0.33
ylr381w	-0.16	-0.62	0.04
ylr382c	-0.28	0.34	0.2
ylr383w	-0.86	1.08	0.18
yll026w	0.47	0.92	1.09
ylr384c	-0.3	-0.35	-1.83
ylr385c	-0.4	0.15	-0.18
ylr386w	0.18	0.39	0.33
ylr387c	0.22	0.57	0.22
ylr388w	0.23	0.46	-0.21
ylr389c	0.38	-0.08	0.17
ylr390w	-0.14	-0.01	-0.4
ylr392c	-0.03	0.19	0.22
ylr393w	-0.04	-0.14	0.01
ylr394w	-0.68	0.02	-0.26
ylr395c	0	0.16	0.2
ylr396c	-0.25	-0.26	0.09
ylr397c	0.2	-0.51	-0.54
ylr398c	0.46	0.22	0.03
ylr399c	-1.07	-0.89	-0.69
ylr400w	0.07	-0.79	-0.96
ylr401c	0.3	-0.76	-0.71
ylr402w	0	-0.07	-0.21
ylr403w	-0.05	-0.41	-0.46
ylr404w	-0.02	0.14	-0.04
ylr405w	-0.41	-0.44	-0.81
ylr406c	-0.07	-0.58	-0.65
ylr407w	-0.07	-0.3	-0.87
ylr408c	-0.23	0.82	-0.85
ylr409c	-0.04	-0.42	-0.72
ylr410w	-0.15	1.22	-0.15
yll025w	-0.09	0.08	-0.33
ylr412w	-0.17	0.16	-0.53
ylr413w	-0.24	-0.89	-2.25
ylr414c	0.44	0.35	-0.73
ylr416c	0	0.22	-0.24
ylr417w	0.31	-0.49	-0.18
yll024c	0.22	-0.09	0.17
ylr418c	-0.05	-0.23	-0.35
ylr419w	-0.19	-0.86	-0.44
ylr420w	-0.19	-0.05	0.06
ylr421c	0.12	-0.01	0.05
ylr422w	-0.06	-0.01	-0.04
ylr423c	-0.15	-0.8	-0.3
ylr424w	-0.39	-0.03	0.42
yll023c	0.08	-0.15	0.07
ylr425w	0.35	0.01	0.21
ylr426w	-0.08	-0.19	0.16
ylr427w	-0.14	-0.5	-0.12
yll022c	-0.62	0.59	0.35
ylr428c	0.01	0.32	-0.18
ylr429w	0.26	0.04	0.21
ylr430w	-0.41	-0.3	-1.24
yml082w	0.15	-0.44	0
yml131w	0.37	1.26	1.52
yml081w	-0.47	-1.01	-0.66
yml080w	-0.13	-0.14	-0.76
yml079w	-0.35	0.02	-0.1
yml078w	0.2	0.22	0
yml077w	-0.25	0.11	-0.38
yml076c	-0.22	0.01	-0.54
yml130c	0.64	0.17	0.23
yml075c	0.17	-0.06	-0.07
yml074c	0.18	-0.03	-0.17
yml072c	-0.47	-0.37	-0.28
yml071c	0.23	-0.43	0.14
yml070w	-0.03	0.19	0.17
yml069w	-0.24	-0.35	0.32
yml068w	-0.23	-0.61	-0.53
yml066c	0.2	-0.69	0.26
yml065w	-0.35	-0.85	-0.77
yml064c	-0.2	-0.78	-0.13
yml129c	-0.44	-0.01	-0.86
yml063w	0.17	0.02	-0.11
yml062c	0.2	-0.47	-0.15
yml061c	-0.52	-0.97	0.15
yml128c	-0.55	1.36	1.74
yml060w	-0.51	-1.23	0.37
yml059c	-0.24	-0.34	0.14
yml058w	-0.38	-0.68	-0.01
yml057w	0.33	0.52	0.47
yml055w	0.1	-0.07	0.08
yml054c	-0.51	-0.47	0.01
yml053c	-0.27	-0.33	-0.54
yml127w	-0.43	-0.28	-0.56
yml051w	0.12	-0.13	-0.12
yml050w	0.1	-0.22	-0.04
yml049c	-0.22	0.64	-0.54
yml048w	0.38	0.17	0.47
yml047c	NA	1.67	-0.26
yml046w	0.91	-0.32	-0.34
yml043c	0.43	-0.71	-0.96
yml126c	0.18	-0.15	-0.15
yml042w	0.29	1.1	-0.11
yml041c	-0.09	0.41	NA
yml038c	-0.11	-0.64	0.36
yml037c	-0.32	-0.49	-0.26
yml035c	-0.03	-0.27	0.41
yml125c	0.23	0.12	-0.24
yml034w	-0.68	-0.59	-1.09
yml032c	-0.05	-0.17	0.13
yml031w	-0.25	NA	-0.19
yml030w	0.12	0.29	0.35
yml029w	-0.05	-0.2	-0.07
yml028w	0.07	-0.14	-0.06
yml027w	-1.88	-0.51	2.01
yml023c	-0.16	-0.6	-0.37
yml022w	0.21	-0.22	-0.18
yml020w	-0.43	-0.25	0.58
yml019w	-0.21	-0.27	-0.43
yml018c	0.06	-0.56	-0.52
yml016c	0.21	0.55	-0.2
yml123c	-0.7	-0.66	-0.53
yml015c	-0.02	-0.48	-0.23
yml014w	-0.16	-0.36	-0.6
yml013w	-0.36	-0.19	0.13
yml012w	-0.4	-0.25	-0.07
yml011c	-0.28	-0.35	-0.05
yml010w	-0.16	-0.18	-0.23
yml008c	-0.17	-0.44	0.2
yml007w	-0.16	0.9	0.1
yml006c	0.25	-0.51	-0.34
yml005w	0.08	0.16	-0.04
yml122c	-0.82	-0.16	-0.79
yml004c	0.51	0.27	0.69
yml003w	-0.4	-0.41	NA
yml002w	NA	-0.66	-0.23
yml001w	-0.33	-0.1	-0.21
ymr001c	-1.45	-1.8	-2.04
yml121w	0.15	0.57	-0.29
ymr002w	-0.24	-0.38	0.02
ymr003w	-0.43	-0.32	-0.39
ymr004w	0.19	-0.24	-0.17
ymr005w	-0.22	-0.28	-0.1
ymr007w	0.69	1.27	1.2
ymr008c	0.87	1.1	1.41
yml120c	-0.37	0.46	-0.31
ymr009w	NA	-0.41	-0.13
ymr010w	-0.09	0.04	0.48
